track_id,title,artist,genre,is_instrumental,mood_tags,tempo_bpm,valence,arousal,youtube_url,description
track_01,Anandoloke Mongololoke,Hemanta Mukhopadhyay,Rabindra Sangeet,false,"calm, peaceful, serene, spiritual, comforting",,0.75,-0.5,https://www.youtube.com/watch?v=M9-sMhP7-2A,"A classic devotional/peaceful song that induces deep calm and spiritual reassurance with gentle acoustic arrangements."
track_02,Ami Chini Go Chini (Flute),Classic Flute Ensemble,Rabindra Sangeet,true,"calm, peaceful, serene, soothing",,0.75,-0.75,https://www.youtube.com/watch?v=F3t6xH1tUo8,"Instrumental flute version of the classic Rabindra Sangeet, offering serene acoustic flows without vocal distraction."
track_03,Noyon Chere Gele Chole,Manabendra Mukhopadhyay,Nazrul Geeti,false,"calm, peaceful, comforting, spiritual",,0.5,-0.5,https://www.youtube.com/watch?v=F2Yt7_kH388,"A soothing, spiritual Nazrul Geeti with gentle instrumentation, providing stability and emotional comfort."
track_04,Tomake Chai,Kabir Suman,Modern Acoustic,false,"calm, comforting, serene, hopeful",,0.75,-0.25,https://www.youtube.com/watch?v=gT8-P3t68H4,"Soft acoustic guitar-driven song conveying warmth, deep love, and serene comfort."
track_05,Ekta Chele,Sahana Bajpaie,Modern Acoustic,false,"calm, peaceful, nostalgic, comforting",,0.5,-0.5,https://www.youtube.com/watch?v=yYt8R1H388A,"A gentle acoustic ballad with comforting female vocals, evoking positive nostalgia and relaxation."
track_06,Amaro Porano Jaha Chay,Sraboni Sen,Rabindra Sangeet,false,"sad, melancholic, somber, longing",,-0.75,-0.5,https://www.youtube.com/watch?v=P1T8u8k7uQ0,"A slow-tempo, somber song expressing deep romantic longing and sadness, using minimalist instruments."
track_07,Shedin Dujone (Violin),Classical Violin Ensemble,Rabindra Sangeet,true,"sad, melancholic, somber, nostalgic",,-0.5,-0.75,https://www.youtube.com/watch?v=V2Yt8_kU88U,"Quiet, weeping instrumental violin arrangement of a melancholic rain-themed song, perfect for reflecting on grief."
track_08,Shunno E Buke Pakhi Mor,Firoza Begum,Nazrul Geeti,false,"sad, melancholic, somber, lonely",,-0.75,-0.5,https://www.youtube.com/watch?v=N3T8y8P3882,"A tragic Nazrul Geeti expressing intense sorrow, grief, and emptiness, delivered with emotional vocal control."
track_09,Coffee House-er Shei Adda,Manna Dey,Old Movie Songs,false,"sad, nostalgic, melancholic, bittersweet",,-0.25,-0.25,https://www.youtube.com/watch?v=84Q5V8m8tSg,"A legendary narrative song about lost friendships and nostalgia. While a bit upbeat in rhythm, the lyrical tone is deeply bittersweet and melancholic."
track_10,Bhalobashi Jare,Arnob,Modern Acoustic,false,"sad, melancholic, longing, lonely",,-0.5,-0.5,https://www.youtube.com/watch?v=Xh0Y8V9f56g,"Melancholic acoustic track with somber guitars and vocals, addressing isolation and unrequited love."
track_11,Trishula,Fossils,Bengali Band,false,"tense, angry, agitated, dramatic",,-0.75,0.75,https://www.youtube.com/watch?v=9_t4E8YtO4g,"Hard rock Bengali song with aggressive guitar riffs and heavy drums, validating feelings of high frustration and anger."
track_12,Acid,Fossils,Bengali Band,false,"tense, angry, anxious, agitated",,-0.75,0.75,https://www.youtube.com/watch?v=f9R3t4Ue882,"High-tempo rock track filled with raw frustration and tension, useful for matching intense emotional outbursts."
track_13,Juddho,Fossils,Bengali Band,false,"tense, angry, agitated, dramatic",,-0.75,0.75,https://www.youtube.com/watch?v=vV9Yt8U3882,"An intense rock song about inner struggle and anger, with high arousal and heavy percussion."
